model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.310000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.236406
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.304504
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.368372
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.434344
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.500425
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.559127
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.610000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.541875
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.655699
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.729193
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.782902
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.829937
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.875966
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.920000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.085781
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.125461
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.166953
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.209150
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.252833
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.292072
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_lr5e6/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.330000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.177500
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.250561
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.326120
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.396796
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.454204
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.496581
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.530000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.442500
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.592922
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.707470
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.792378
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.854386
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.895783
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.930000
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.061563
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.091766
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.122296
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.151221
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.179381
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.206513
/sensei-fs-3/users/rkrishna/checkpoints/po_mh_prob_warm_anneal_lr1e5/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.230000
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.153438
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.225347
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.298426
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,8,0.365723
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,16,0.425902
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,32,0.477381
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,64,0.510000
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,1,0.417344
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.568814
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.687261
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.771061
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.832419
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.880408
/sensei-fs-3/users/rkrishna/checkpoints/jsd_mathhard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.920000
