timestamp,checkpoint,dataset,mode,K,L,n_prompts,block_eff,throughput_tok_s,avg_tree_nodes,total_gen_tokens,total_time_s
2026-06-11T01:29:31,checkpoints/nss_tree/ckpt_best,gsm8k_eval,spectr,3,8,100,4.393426,12.4889,19.6926,12965,1038.12
2026-06-11T01:48:26,checkpoints/nss_tree/ckpt_best,gsm8k_eval,khisti,3,8,100,4.234628,11.6061,19.7861,13085,1127.43
2026-06-11T02:04:11,checkpoints/nss_tree/ckpt_best,gsm8k_eval,bv,3,8,100,4.915509,13.9753,18.3410,13090,936.65
2026-06-11T02:22:33,checkpoints/nss_tree/ckpt_best,gsm8k_eval,gbv,3,8,100,4.319037,11.9603,19.5889,13091,1094.54
2026-06-11T02:37:49,checkpoints/nss_tree/ckpt_best,gsm8k_eval,traversal,3,8,100,5.184013,14.4293,19.1472,13100,907.87
2026-06-11T11:16:59,checkpoints/nss_tree/ckpt_best,gsm8k_eval,naive,3,8,100,4.630035,12.2818,18.9555,13103,1066.86
2026-06-11T11:42:45,checkpoints/nss_tree/ckpt_best,gsm8k_eval,nss,3,8,100,3.197589,8.4486,19.7960,12995,1538.12
2026-06-11T12:03:45,checkpoints/nss_tree/ckpt_best,gsm8k_eval,specinfer,3,8,100,3.959258,10.4032,19.8106,13022,1251.73
2026-06-11T12:22:22,checkpoints/nss_tree/ckpt_best,gsm8k_eval,spectr,3,8,100,4.571179,11.8197,19.0161,13101,1108.41
2026-06-11T12:43:06,checkpoints/nss_tree/ckpt_best,gsm8k_eval,khisti,3,8,100,4.209220,10.5640,19.5171,13057,1236.00
2026-06-11T13:00:40,checkpoints/nss_tree/ckpt_best,gsm8k_eval,bv,3,8,100,4.676061,12.5385,18.1777,13107,1045.34
2026-06-11T13:19:45,checkpoints/nss_tree/ckpt_best,gsm8k_eval,gbv,3,8,100,4.378261,11.5164,19.5023,13091,1136.73
2026-06-11T13:35:14,checkpoints/nss_tree/ckpt_best,gsm8k_eval,traversal,3,8,100,5.217668,14.2359,18.6041,13112,921.05
