model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
Qwen/Qwen3-1.7B,olympiad_eval.jsonl,64,0.8,100,0,64,0.280000
Qwen/Qwen3-32B,math_eval.jsonl,64,0.8,100,0,1,0.397656
Qwen/Qwen3-32B,math_eval.jsonl,64,0.8,100,0,2,0.503690
Qwen/Qwen3-32B,math_eval.jsonl,64,0.8,100,0,4,0.574013
Qwen/Qwen3-32B,math_eval.jsonl,64,0.8,100,0,8,0.623495
Qwen/Qwen3-32B,math_eval.jsonl,64,0.8,100,0,16,0.668231
Qwen/Qwen3-32B,math_eval.jsonl,64,0.8,100,0,32,0.711652
Qwen/Qwen3-32B,math_eval.jsonl,64,0.8,100,0,64,0.750000
Qwen/Qwen3-32B,gsm8k_eval.jsonl,64,0.8,100,0,1,0.594063
Qwen/Qwen3-32B,gsm8k_eval.jsonl,64,0.8,100,0,2,0.791548
Qwen/Qwen3-32B,gsm8k_eval.jsonl,64,0.8,100,0,4,0.913042
Qwen/Qwen3-32B,gsm8k_eval.jsonl,64,0.8,100,0,8,0.966891
Qwen/Qwen3-32B,gsm8k_eval.jsonl,64,0.8,100,0,16,0.989465
Qwen/Qwen3-32B,gsm8k_eval.jsonl,64,0.8,100,0,32,0.998380
Qwen/Qwen3-32B,gsm8k_eval.jsonl,64,0.8,100,0,64,1.000000
Qwen/Qwen3-32B,olympiad_eval.jsonl,64,0.8,100,0,1,0.172031
Qwen/Qwen3-32B,olympiad_eval.jsonl,64,0.8,100,0,2,0.224087
Qwen/Qwen3-32B,olympiad_eval.jsonl,64,0.8,100,0,4,0.267105
Qwen/Qwen3-32B,olympiad_eval.jsonl,64,0.8,100,0,8,0.304223
Qwen/Qwen3-32B,olympiad_eval.jsonl,64,0.8,100,0,16,0.334934
Qwen/Qwen3-32B,olympiad_eval.jsonl,64,0.8,100,0,32,0.354848
Qwen/Qwen3-32B,olympiad_eval.jsonl,64,0.8,100,0,64,0.360000
